note,#ID,date,tesi,Fila,pianta,shoot,length (cm),diametro (mm),type,#nodes,internodo(cm),Amenti,Legno,Miste,cluster,nuts,Cieche,#osserv,oss/node,nut set,%M,%L,%A,%C,,,,,,
,158,2020,auto,3,8,38,36.5,5.81,Lo,10,3.65,2,5,11,6,16,0,18,1.80,145%,61%,28%,11%,0%,,,,,,
,159,2020,auto,3,8,39,1,1.54,Sh,1,1.00,0,0,1,0,0,0,1,1.00,0%,100%,0%,0%,0%,,,,,,
,160,2020,auto,3,9,40,18,4.46,Me,9,2.00,5,6,4,2,7,2,17,1.89,175%,24%,35%,29%,12%,,,,,,
,161,2020,auto,3,9,41,5.5,3.9,Me,6,1.38,8,3,4,1,1,0,15,2.50,25%,27%,20%,53%,0%,,,,,,
,162,2020,auto,3,9,42,7,3.3,Me,5,1.40,8,4,7,0,0,1,20,4.00,0%,35%,20%,40%,5%,,,,,,
,163,2020,auto,3,9,43,18.2,4.28,Me,7,2.28,3,1,8,6,13,0,12,1.71,163%,67%,8%,25%,0%,,,,,,
,164,2020,auto,3,9,44,42.6,5.5,VLo,14,3.04,9,8,12,7,16,0,29,2.07,133%,41%,28%,31%,0%,,,,,,
,165,2020,auto,3,9,45,34,5.4,Lo,14,2.43,1,3,11,7,21,0,15,1.07,191%,73%,20%,7%,0%,,,,,,
,166,2020,auto,3,9,46,43,6.2,VLo,18,2.39,17,7,13,0,0,1,38,2.11,0%,34%,18%,45%,3%,,,,,,
,167,2020,auto,3,9,47,52,7.36,VLo,19,2.74,19,12,17,9,28,3,51,2.68,165%,33%,24%,37%,6%,,,,,,
,168,2020,auto,3,9,48,4.5,2.6,Sh,5,0.90,3,1,3,2,5,4,11,2.20,167%,27%,9%,27%,36%,,,,,,
,169,2020,auto,3,9,49,25,4.52,Lo,11,2.27,7,5,6,4,9,3,21,1.91,150%,29%,24%,33%,14%,,,,,,
,170,2020,auto,3,9,50,19,3.8,Me,7,2.71,7,2,4,3,9,3,16,2.29,225%,25%,13%,44%,19%,,,,,,
,171,2020,auto,3,9,51,4.5,2.6,Sh,3,1.50,2,1,0,0,0,2,5,1.67,,0%,20%,40%,40%,,,,,,
,172,2020,auto,3,9,52,2,2.8,Sh,2,1.00,0,1,1,0,0,0,2,1.00,0%,50%,50%,0%,0%,,,,,,
,173,2020,auto,3,9,53,54,5.64,VLo,15,3.60,6,0,11,10,36,4,21,1.40,327%,52%,0%,29%,19%,,,,,,
,174,2020,auto,3,9,54,8.5,3.52,Me,7,1.42,6,4,6,2,6,2,18,2.57,100%,33%,22%,33%,11%,,,,,,
,175,2020,auto,3,9,55,6,2.66,Me,5,1.20,0,3,2,1,3,0,5,1.00,150%,40%,60%,0%,0%,,,,,,
,176,2020,auto,3,9,56,10.2,3.26,Me,8,1.70,6,5,6,2,5,2,19,2.38,83%,32%,26%,32%,11%,,,,,,
,177,2020,auto,3,9,57,12,4.1,Me,6,2.00,4,2,6,2,6,3,15,2.50,100%,40%,13%,27%,20%,,,,,,
,178,2020,auto,3,9,58,2,2.32,Sh,3,0.67,2,1,1,1,1,1,5,1.67,100%,20%,20%,40%,20%,,,,,,
,179,2020,auto,3,9,59,54,5.4,VLo,22,2.45,7,12,11,6,14,5,35,1.59,127%,31%,34%,20%,14%,,,,,,
,180,2020,auto,3,9,60,3,2.64,Sh,3,1.00,4,3,0,0,0,1,8,2.67,,0%,38%,50%,13%,,,,,,
,181,2020,auto,3,9,61,46,7.2,VLo,20,2.30,0,17,8,4,18,0,25,1.25,225%,32%,68%,0%,0%,,,,,,
,182,2020,auto,3,9,62,9,2.66,Me,8,1.13,2,3,4,1,6,2,11,1.38,150%,36%,27%,18%,18%,,,,,,
,183,2020,auto,3,9,63,4.8,2.78,Sh,3,1.60,5,1,3,2,3,0,9,3.00,100%,33%,11%,56%,0%,,,,,,
,184,2020,auto,3,9,64,28,4.44,Lo,16,1.75,14,11,7,3,5,3,35,2.19,71%,20%,31%,40%,9%,,,,,,
,185,2020,auto,3,9,65,10,3.52,Me,6,1.67,8,0,9,0,0,3,20,3.33,0%,45%,0%,40%,15%,,,,,,
,186,2020,auto,3,9,66,58,6.72,VLo,19,3.05,1,6,12,10,41,5,24,1.26,342%,50%,25%,4%,21%,,,,,,
,187,2020,auto,3,9,67,26.5,4.42,Lo,12,2.21,10,7,8,6,19,2,27,2.25,238%,30%,26%,37%,7%,,,,,,
,188,2020,auto,3,9,68,26.5,5.04,Lo,13,2.04,9,6,7,4,13,3,25,1.92,186%,28%,24%,36%,12%,,,,,,
,189,2020,auto,3,9,69,6.5,2.84,Me,4,1.63,3,2,4,1,1,1,10,2.50,25%,40%,20%,30%,10%,,,,,,
,190,2020,auto,3,10,70,42,6.43,VLo,16,2.63,18,15,8,6,19,3,44,2.75,238%,18%,34%,41%,7%,,,,,,
