"tesi","Length","Diam","class","shoot","Tree","Length.node.","rank_node","normal_distance","median_distance","distance_abs","c","v","m","cl","nu","b","tot_buds","fate","new_shoots","from_","length2yo.cm.","length.newshoots","X.nodes2yo","c.1","v.1","m.1","cic.1","cl.1","B.1"
"AUTOR",43,6.41,"VLo",7,8,14,7,0.04,-0.5,0.5,0,2,0,0,0,0,3,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",43,6.41,"VLo",7,8,14,7,0.04,-0.5,0.5,1,1,0,0,0,0,3,"V",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",43,6.41,"VLo",7,8,14,8,0.04,0.5,0.5,1,1,0,0,0,0,3,"M",1,"SYL",2,"Sh",2,0,2,0,1,0,0
"AUTOR",43,6.41,"VLo",7,8,14,8,0.04,0.5,0.5,1,0,1,0,0,0,3,"V",1,"SYL",2,"Sh",4,0,1,1,0,0,2
"AUTOR",43,6.41,"VLo",7,8,14,8,0.04,0.5,0.5,0,1,1,0,0,0,3,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",43,6.41,"VLo",7,8,14,9,0.11,1.5,1.5,0,0,0,0,0,0,1,"M",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",43,6.41,"VLo",7,8,14,10,0.18,2.5,2.5,0,0,0,0,0,0,1,"M",1,"PROL",3,"Sh",1,0,0,0,1,0,0
"AUTOR",43,6.41,"VLo",7,8,14,11,0.25,3.5,3.5,0,0,0,0,0,0,1,"M",1,"PROL",5,"Sh",5,0,3,0,1,0,2
"AUTOR",43,6.41,"VLo",7,8,14,12,0.32,4.5,4.5,0,0,0,0,0,0,1,"M",1,"PROL",3,"Sh",1,0,0,0,1,0,0
"AUTOR",43,6.41,"VLo",7,8,14,13,0.39,5.5,5.5,0,0,0,0,0,0,1,"V",1,"PROL",5,"Sh",5,4,2,1,0,0,1
"AUTOR",43,6.41,"VLo",7,8,14,14,0.46,6.5,6.5,0,2,0,0,0,0,3,"V",1,"PROL",6,"Me",5,3,2,2,0,0,3
"AUTOR",43,6.41,"VLo",7,8,14,14,0.46,6.5,6.5,0,2,0,0,0,0,3,"V",1,"PROL",2,"Sh",1,0,0,0,1,0,0
"AUTOR",43,6.41,"VLo",7,8,14,14,0.46,6.5,6.5,0,2,0,0,0,0,3,"V",1,"PROL",12,"Me",7,10,3,3,0,0,2
"AUTOR",30,5.09,"Lo",9,8,15,1,0.47,-7,7,0,0,0,0,0,0,1,"V",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",30,5.09,"Lo",9,8,15,2,0.4,-6,6,0,0,0,0,0,0,1,"V",1,"PROL",1,"Sh",3,0,1,0,0,0,2
"AUTOR",30,5.09,"Lo",9,8,15,3,0.33,-5,5,0,0,0,1,2,0,1,"M",1,"PROL",2,"Sh",4,0,2,0,0,0,2
"AUTOR",30,5.09,"Lo",9,8,15,4,0.27,-4,4,0,0,0,0,0,0,1,"M",1,"PROL",3,"Sh",5,0,3,0,0,0,2
"AUTOR",30,5.09,"Lo",9,8,15,5,0.2,-3,3,1,1,1,0,0,0,4,"V",1,"SYL",3,"Sh",6,2,3,0,0,0,4
"AUTOR",30,5.09,"Lo",9,8,15,5,0.2,-3,3,0,2,1,0,0,0,4,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",30,5.09,"Lo",9,8,15,5,0.2,-3,3,1,1,1,0,0,0,4,"V",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",30,5.09,"Lo",9,8,15,5,0.2,-3,3,1,2,0,1,1,0,4,"M",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",30,5.09,"Lo",9,8,15,6,0.13,-2,2,1,1,0,0,0,0,3,"M",1,"SYL",3,"Sh",3,0,2,0,1,0,1
"AUTOR",30,5.09,"Lo",9,8,15,6,0.13,-2,2,1,0,1,0,0,0,3,"V",1,"SYL",2,"Sh",4,0,2,0,0,0,2
"AUTOR",30,5.09,"Lo",9,8,15,6,0.13,-2,2,0,1,1,0,0,0,3,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
