tesi,unit,length,unit_2,diam,class,shoot_ID,tree,Length(node),rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,30,mm,5.09,Lo,9,8,15,14,6,0.4,0.4,6,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,30,mm,5.09,Lo,9,8,15,15,7,0.5,0.47,7,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,1,-6.5,-0.5,0.46,6.5,0,0,1,1,1,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,2,-5.5,-0.4,0.39,5.5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,3,-4.5,-0.3,0.32,4.5,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,4,-3.5,-0.2,0.25,3.5,0,0,1,1,1,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,5,-2.5,-0.2,0.18,2.5,0,4,5,1,1,0,9,9,PROLEPTIC,3,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,6,-1.5,-0.1,0.11,1.5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,7,-0.5,0,0.04,0.5,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,8,0.5,0,0.04,0.5,0,0,1,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,9,1.5,0.1,0.11,1.5,0,0,1,1,4,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,10,2.5,0.2,0.18,2.5,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,11,3.5,0.2,0.25,3.5,0,0,1,1,2,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,12,4.5,0.3,0.32,4.5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,57,mm,6.8,VLo,10,8,14,13,5.5,0.4,0.39,5.5,0,0,1,1,2,0,1,1,PROLEPTIC,1,,,,
