tesi,unit,parent_length_cm,unit_2,diam,class,shoot_ID,tree,parent_length_node,parent_rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,5,mm,3.6,Sh,71,10,6,4,0.5,0.1,0.08,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,1,2
AUTOR,cm,5,mm,3.6,Sh,71,10,6,5,1.5,0.2,0.25,1.5,1,0,0,1,4,0,0,0,SYLLEPTIC,0,1,0,2,2
AUTOR,cm,3,mm,2.3,Sh,72,10,4,3,0.5,0.1,0.12,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,1,0,1
AUTOR,cm,38.5,mm,6.64,Lo,73,10,15,5,-3,-0.2,0.2,3,1,0,0,0,0,0,0,0,SYLLEPTIC,3,1,2,1,3
AUTOR,cm,38.5,mm,6.64,Lo,73,10,15,6,-2,-0.1,0.13,2,1,0,0,0,0,0,0,0,SYLLEPTIC,3,1,2,1,3
AUTOR,cm,14.5,mm,3.54,Me,74,10,8,5,0.5,0.1,0.06,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,2,3
AUTOR,cm,14.5,mm,3.54,Me,74,10,8,6,1.5,0.2,0.19,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,3,4
AUTOR,cm,14.5,mm,3.54,Me,74,10,8,7,2.5,0.3,0.31,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,35.5,mm,6.7,Lo,75,10,16,4,-4.5,-0.3,0.28,4.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,35.5,mm,6.7,Lo,75,10,16,5,-3.5,-0.2,0.22,3.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,0,2
AUTOR,cm,35.5,mm,6.7,Lo,75,10,16,6,-2.5,-0.2,0.16,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,2,3
AUTOR,cm,35.5,mm,6.7,Lo,75,10,16,7,-1.5,-0.1,0.09,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
AUTOR,cm,13.5,mm,4,Me,76,10,8,4,-0.5,-0.1,0.06,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
AUTOR,cm,13.5,mm,4,Me,76,10,8,5,0.5,0.1,0.06,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,2,3
AUTOR,cm,13.5,mm,4,Me,76,10,8,6,1.5,0.2,0.19,1.5,1,0,0,1,3,0,0,0,SYLLEPTIC,1,1,1,1,2
AUTOR,cm,28,mm,4.48,Lo,77,10,17,6,-3,-0.2,0.18,3,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,28,mm,4.48,Lo,77,10,17,8,-1,-0.1,0.06,1,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,28,mm,4.48,Lo,77,10,17,9,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,28,mm,4.48,Lo,77,10,17,11,2,0.1,0.12,2,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,28,mm,4.48,Lo,77,10,17,16,7,0.4,0.41,7,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,14,mm,3.5,Me,78,10,8,5,0.5,0.1,0.06,0.5,1,0,0,1,1,0,0,0,SYLLEPTIC,2,1,1,1,2
